,sub_num,galaxy,prt_rel_om
0,0,0,1.7272727272727273
1,0,1,1.36
2,0,2,2.8333333333333335
3,1,0,1.0769230769230769
4,1,1,1.3333333333333333
5,1,2,1.1578947368421053
6,2,0,1.6923076923076923
7,2,1,1.4782608695652173
8,2,2,0.8095238095238095
9,3,0,1.0714285714285714
10,3,1,1.9130434782608696
11,3,2,1.5263157894736843
12,4,0,1.0
13,4,1,0.8846153846153846
14,4,2,0.4090909090909091
15,5,0,1.0625
16,5,1,0.7307692307692307
17,5,2,-0.8333333333333334
18,6,0,0.9473684210526315
19,6,1,-0.34615384615384615
20,6,2,-3.3333333333333335
21,7,0,1.0
22,7,1,0.38461538461538464
23,7,2,-3.2857142857142856
24,8,0,1.4375
25,8,1,0.88
26,8,2,-1.3043478260869565
27,9,0,1.3846153846153846
28,9,1,1.24
29,9,2,0.13636363636363635
30,10,0,1.2142857142857142
31,10,1,1.0416666666666667
32,10,2,0.7142857142857143
33,11,0,1.0
34,11,1,0.4230769230769231
35,11,2,-0.28
36,12,0,1.0666666666666667
37,12,1,0.8846153846153846
38,12,2,0.13636363636363635
39,13,0,1.0666666666666667
40,13,1,0.92
41,13,2,0.18181818181818182
42,14,0,1.25
43,14,1,1.04
44,14,2,-1.32
45,15,0,1.4
46,15,1,0.84
47,15,2,0.75
48,16,0,1.0769230769230769
49,16,1,0.92
50,16,2,2.526315789473684
51,17,0,0.8947368421052632
52,17,1,-0.42857142857142855
53,17,2,-4.09375
54,18,0,0.9333333333333333
55,18,1,1.0769230769230769
56,18,2,1.2
57,19,0,1.2352941176470589
58,19,1,0.34615384615384615
59,19,2,-2.1538461538461537
60,20,0,1.5
61,20,1,1.32
62,20,2,1.5
63,21,0,2.25
64,21,1,4.823529411764706
65,21,2,8.666666666666666
66,22,0,1.8461538461538463
67,22,1,1.5833333333333333
68,22,2,1.2
69,23,0,1.0
70,23,1,0.9230769230769231
71,23,2,-0.4166666666666667
72,24,0,-0.10526315789473684
73,24,1,-1.967741935483871
74,24,2,-6.816326530612245
75,25,0,1.5714285714285714
76,25,1,1.0
77,25,2,-1.7272727272727273
78,26,0,1.6666666666666667
79,26,1,2.130434782608696
80,26,2,2.2222222222222223
81,27,0,1.2142857142857142
82,27,1,1.4583333333333333
83,27,2,1.7894736842105263
84,28,0,1.0625
85,28,1,0.6153846153846154
86,28,2,-0.4782608695652174
87,29,0,1.6363636363636365
88,29,1,1.2916666666666667
89,29,2,-0.14285714285714285
90,30,0,1.3333333333333333
91,30,1,1.12
92,30,2,0.23809523809523808
93,31,0,1.2307692307692308
94,31,1,1.4583333333333333
95,31,2,2.4210526315789473
96,32,0,2.090909090909091
97,32,1,2.0434782608695654
98,32,2,2.7058823529411766
99,33,0,1.0555555555555556
100,33,1,0.3076923076923077
101,33,2,-2.2142857142857144
102,34,0,1.0
103,34,1,1.2
104,34,2,1.75
105,35,0,1.0555555555555556
106,35,1,-0.37037037037037035
107,35,2,-3.259259259259259
108,36,0,2.0
109,36,1,1.7083333333333333
110,36,2,1.9473684210526316
111,37,0,1.8181818181818181
112,37,1,1.4166666666666667
113,37,2,3.823529411764706
114,38,0,1.3333333333333333
115,38,1,1.32
116,38,2,1.9473684210526316
117,39,0,-0.5263157894736842
118,39,1,-1.9333333333333333
119,39,2,-6.804347826086956
