,sub_num,galaxy,preced_gal,prt_rel_om
3,0,1,1,2.0
153,22,1,2,1.7142857142857142
159,23,1,2,0.9130434782608695
165,24,1,2,-1.9642857142857142
167,25,1,0,1.3333333333333333
171,25,1,2,0.375
174,26,1,0,1.9333333333333333
179,26,1,2,2.5
182,27,1,0,1.4375
186,27,1,2,1.375
189,28,1,0,0.75
193,28,1,2,0.5909090909090909
200,29,1,2,1.0476190476190477
202,30,1,0,0.9411764705882353
206,30,1,2,1.5
209,31,1,0,1.1875
213,31,1,2,1.5
216,32,1,0,2.066666666666667
219,32,1,1,1.0
222,32,1,2,2.0
224,33,1,0,-0.25
228,33,1,2,0.36363636363636365
231,34,1,0,1.1764705882352942
235,34,1,2,1.25
237,35,1,0,-0.5263157894736842
242,35,1,2,0.0
249,36,1,2,1.4761904761904763
255,37,1,1,2.0
258,37,1,2,1.25
261,38,1,0,1.2352941176470589
147,21,1,2,4.571428571428571
141,20,1,2,1.0454545454545454
134,19,1,2,0.18181818181818182
130,19,1,0,1.25
6,0,1,2,1.1904761904761905
9,1,1,0,1.1875
13,1,1,2,1.5
16,2,1,0,1.4666666666666666
20,2,1,2,1.125
23,3,1,0,1.6666666666666667
27,3,1,2,2.25
34,4,1,2,0.782608695652174
37,5,1,0,1.25
41,5,1,2,0.6363636363636364
43,6,1,0,-0.25
47,6,1,2,-0.4090909090909091
54,7,1,2,0.5652173913043478
56,8,1,0,1.0
265,38,1,2,1.375
60,8,1,2,0.8095238095238095
70,10,1,0,0.875
74,10,1,2,1.125
80,11,1,2,0.391304347826087
87,12,1,2,0.9130434782608695
94,13,1,2,0.8636363636363636
97,14,1,0,1.25
101,14,1,2,0.9523809523809523
104,15,1,0,0.8235294117647058
108,15,1,2,0.875
111,16,1,0,0.9411764705882353
115,16,1,2,0.375
121,17,1,2,-0.88
124,18,1,0,0.7777777777777778
128,18,1,2,1.625
67,9,1,2,0.9090909090909091
271,39,1,2,-1.9259259259259258
